Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
241,20105695,No," Henriette Kornerup,",Vital exhaustion increases the risk of ischemic stroke in women but not in men: results from the Copenhagen City Heart Study.,Journal of psychosomatic research,2010 Feb,Epidemiology,Human,9186
242,20140412,No," Jenny Röding,",Life satisfaction in younger individuals after stroke: different predisposing factors among men and women.,Journal of rehabilitation medicine : official journal of the UEMS European Board of Physical and Rehabilitation Medicine,2010 Feb,Outcomes,Human,1068
243,20966413,No," Klaus Kaae Andersen,","Age- and gender-specific prevalence of cardiovascular risk factors in 40,102 patients with first-ever ischemic stroke: a Nationwide Danish Study.","Stroke, a journal of cerebral circulation",2010 Dec,Epidemiology,Human,40102
244,21264198,No," Ji-Sun Kim,",Gender differences in the functional recovery after acute stroke.,"Journal of clinical neurology (Seoul, Korea)",2010 Dec,Outcomes,Human,1055
245,20444450,No," Archana Singh-Manoux,",Lost work days in the 6 years leading to premature death from cardiovascular disease in men and women.,Atherosclerosis,2010 Aug,Clinical,Human,150595
246,20538695,No," Gilda M Tafreshi,",Gender differences in acute stroke treatment: the University of California San Diego experience.,"Stroke, a journal of cerebral circulation",2010 Aug,Management,Human,848
247,20869629,No," Tom SkyhÃ¸j Olsen,","Female survival advantage relates to male inferiority rather than female superiority: A hypothesis based on the impact of age and stroke severity on 1-week to 1-year case fatality in 40,155 men and women.",Gender medicine,2010 Aug,Outcomes,Human,40155
248,20616325,No," Hideki Ota,",Sex differences in patients with asymptomatic carotid atherosclerotic plaque: in vivo 3.0-T magnetic resonance study.,"Stroke, a journal of cerebral circulation",2010 Aug,Clinical,Human,131
249,20150554,No," Roland Fiskesund,",Low levels of antibodies against phosphorylcholine predict development of stroke in a population-based study from northern Sweden.,"Stroke, a journal of cerebral circulation",2010 Apr,Clinical,Human,682
250,20422793,Yes," Claudia C Beal,",Gender and stroke symptoms: a review of the current literature.,The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,2010 Apr,Review,Human,na
251,20389080,No," Andrea Bassi,",Gender-specific predictors of functional outcome after stroke rehabilitation: potential role of the autonomic nervous system.,European neurology,2010,Outcomes,Human,126
252,20861653,No," Christian Foerch,",Gender imbalances induced by age limits in stroke trials.,Neuroepidemiology,2010,Epidemiology,Human,34754
253,20733301,No," Gisele S Silva,",Gender differences in outcomes after ischemic stroke: role of ischemic lesion volume and intracranial large-artery occlusion.,"Cerebrovascular diseases (Basel, Switzerland)",2010,Outcomes,Human,676
254,21094893,Yes," Paco S Herson,",Gender and the injured brain.,Progress in brain research,2010,Review,Human,na
255,20948199,No," Kaare Haurvig Palnum,",Medical prophylaxis following hospitalization for ischemic stroke: age- and sex-related differences and relation to mortality.,"Cerebrovascular diseases (Basel, Switzerland)",2010,Management,Human,28634
256,19960959,No," Wen-Chuin Hsu,",The association of stroke and family history of stroke depends on its subtypes and gender: a family history study in Taiwan.,Acta neurologica Taiwanica,2009 Sep,Epidemiology,Human,4997
257,19627385,No," Asa Andersson,",Elderly peoples' experience of nursing care after a stroke: from a gender perspective.,Journal of advanced nursing,2009 Oct,Management,Human,10
258,19996226,Yes," Brittany Poynter,",Sex differences in the prevalence of post-stroke depression: a systematic review.,Psychosomatics,2009 Nov-Dec,Review,Human,75131
259,19647928,No," D R Jovanovi?,",Do women benefit more from systemic thrombolysis in acute ischemic stroke? A Serbian experience with thrombolysis in ischemic stroke (SETIS) study.,Clinical neurology and neurosurgery,2009 Nov,Outcomes,Human,156
260,19265047,No," Fudong Liu,",Sex differences in caspase activation after stroke.,"Stroke, a journal of cerebral circulation",2009 May,Pathophysiology,Mouse,na
261,19228855,Yes," Mathew Reeves,",Sex differences in the use of intravenous rt-PA thrombolysis treatment for acute ischemic stroke: a meta-analysis.,"Stroke, a journal of cerebral circulation",2009 May,Review,Human,na
262,19268668,No," Mike Yuan,",Sex differences in the response to activation of the poly (ADP-ribose) polymerase pathway after experimental stroke.,Experimental neurology,2009 May,Pathophysiology,Mouse,na
263,19405861,No," Hua-Fen Chen,",Sex differences in the incidence of hemorrhagic and ischemic stroke among diabetics in Taiwan.,Journal of women's health (2002),2009 May,Epidemiology,Human,1001116
264,19265044,No," Joseph S Ross,",Use of stroke secondary prevention services: are there disparities in care?,"Stroke, a journal of cerebral circulation",2009 May,Management,Human,11862
265,19404548,No," Daniela Poli,",Gender differences in stroke risk of atrial fibrillation patients on oral anticoagulant treatment.,Thrombosis and haemostasis,2009 May,Management,Human,780
266,19430267,Yes," Dara G Jamieson,",Gender considerations in stroke management.,The neurologist,2009 May,Review,Human,na
267,19164792,No," Wojciech Turaj,",Gender-related differences in diagnostic evaluation and outcome of ischemic stroke in Poland.,"Stroke, a journal of cerebral circulation",2009 Mar,Clinical,Human,1488
268,19252778,No," E Cuadrado-Godia,",Sex differences in the prognostic value of the lipid profile after the first ischemic stroke.,Journal of neurology,2009 Jun,Outcomes,Human,591
269,19228857,No," Judith H Lichtman,","Elderly women have lower rates of stroke, cardiovascular events, and mortality after hospitalization for transient ischemic attack.","Stroke, a journal of cerebral circulation",2009 Jun,Epidemiology,Human,122063
270,19228858,No," Lynda D Lisabeth,",Acute stroke symptoms: comparing women and men.,"Stroke, a journal of cerebral circulation",2009 Jun,Clinical,Human,461
271,19372440,Yes," Elena Meseguer,",Outcomes of intravenous recombinant tissue plasminogen activator therapy according to gender: a clinical registry study and systematic review.,"Stroke, a journal of cerebral circulation",2009 Jun,Review,Human,>9914
272,19461021,No," Alex Förster,","Gender differences in acute ischemic stroke: etiology, stroke patterns and response to thrombolysis.","Stroke, a journal of cerebral circulation",2009 Jul,Epidemiology,Human,237
273,19403054,Yes," S Sacco,",Gender and stroke: acute phase treatment and prevention.,Functional neurology,2009 Jan-Mar,Review,Human,na
274,19105694,No," Mykola Khalangot, Vitaliy Guryanov",Gender risk of nonfatal stroke in type 2 diabetic patients differs depending on the type of treatment.,Journal of women's health (2002),2009 Jan-Feb,Pathophysiology,Human,90187
275,18787197,No," Meredith R Golomb,Collective=International Pediatric Stroke Study Group",Male predominance in childhood ischemic stroke: findings from the international pediatric stroke study.,"Stroke, a journal of cerebral circulation",2009 Jan,Epidemiology,Human,1187
276,19109538,No," Juan F Arenillas, Antoni Dávalos",The metabolic syndrome is associated with a higher resistance to intravenous thrombolysis for acute ischemic stroke in women than in men.,"Stroke, a journal of cerebral circulation",2009 Feb,Management,Human,125
277,19996073,No," M K Kapral,",Gender differences in carotid imaging and revascularization following stroke.,Neurology,2009 Dec 8,Management,Human,6389
278,20033984,No," Sandra Normann,",Role of endogenous testosterone concentration in pediatric stroke.,Annals of neurology,2009 Dec,Pathophysiology,Human,233
279,19436313,No," Masayoshi Uchida,",Dose-dependent effects of androgens on outcome after focal cerebral ischemia in adult male mice.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2009 Aug,Pathophysiology,Mouse,na
280,19359672,Yes," Claire L Gibson,",Is progesterone a candidate neuroprotective factor for treatment following ischemic stroke?,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",2009 Aug,Review,na,na
281,19211488,Yes," Peter Appelros,",Sex differences in stroke epidemiology: a systematic review.,"Stroke, a journal of cerebral circulation",2009 Apr,Review,Human,na
282,19211483,No," Julia Warner Gargano,",Do presenting symptoms explain sex differences in emergency department delays among patients with acute stroke?,"Stroke, a journal of cerebral circulation",2009 Apr,Management,Human,1922
283,19190654,No," Jun Li,",Sex differences in minocycline-induced neuroprotection after experimental stroke.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2009 Apr,Pathophysiology,Mouse,na
284,19211485,No," James D Lewsey,","Sex differences in incidence, mortality, and survival in individuals with stroke in Scotland, 1986 to 2005.","Stroke, a journal of cerebral circulation",2009 Apr,Outcomes,Human,na
285,19211479,No," Kaare D Palnum,",Sex-related differences in quality of care and short-term mortality among patients with acute stroke in Denmark: a nationwide follow-up study.,"Stroke, a journal of cerebral circulation",2009 Apr,Outcomes,Human,29549
286,19211482,No," Mathew J Reeves,",Quality of care in women with ischemic stroke in the GWTG program.,"Stroke, a journal of cerebral circulation",2009 Apr,Management,Human,383318
287,19223913,No," Fudong Liu,",Changes in experimental stroke outcome across the life span.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2009 Apr,Pathophysiology,Mouse,na
288,19211487,No," Don B Smith,",Gender differences in the Colorado Stroke Registry.,"Stroke, a journal of cerebral circulation",2009 Apr,Epidemiology,Human,na
289,19211484,No," Rodica E Petrea,",Gender differences in stroke incidence and poststroke disability in the Framingham heart study.,"Stroke, a journal of cerebral circulation",2009 Apr,Epidemiology,Human,10076
290,19211480,No," Eileen M Stuart-Shor,",Gender differences in presenting and prodromal stroke symptoms.,"Stroke, a journal of cerebral circulation",2009 Apr,Clinical,Human,1107
291,19201193,Yes," D A De Silva,",Gender issues in acute stroke thrombolysis.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2009 Apr,Review,Human,na
292,19295208,No," Emi Watanabe,",Diagnostic evaluation for patients with ischemic stroke: are there sex differences?,"Cerebrovascular diseases (Basel, Switzerland)",2009,Clinical,Human,1256
293,19176959,No," Norrina B Allen,",Utilization of intravenous tissue plasminogen activator for ischemic stroke: are there sex differences?,"Cerebrovascular diseases (Basel, Switzerland)",2009,Management,Human,1234
294,19531872,Yes," Mingyue Liu,",Mechanisms of gender-linked ischemic brain injury.,Restorative neurology and neuroscience,2009,Review,Human,na
295,19525582,No," Michinari Fukuda,",Gender differences in long-term functional outcome after first-ever ischemic stroke.,"Internal medicine (Tokyo, Japan)",2009,Outcomes,Human,997
296,19738370,No," Mi-Sun Oh,",Gender differences in the mortality and outcome of stroke patients in Korea.,"Cerebrovascular diseases (Basel, Switzerland)",2009,Outcomes,Human,18364
297,19426522,No," Kaori Honjo,",Education level and physical functional limitations among Japanese community residents-gender difference in prognosis from stroke.,BMC public health,2009,Epidemiology,Human,29134
298,19844096,No," I Vaartjes,",Gender differences in mortality after hospital admission for stroke.,"Cerebrovascular diseases (Basel, Switzerland)",2009,Outcomes,Human,30675
299,19802925,No," Jenny Röding,",Perceived impaired physical and cognitive functions after stroke in men and women between 18 and 55 years of age--a national survey.,Disability and rehabilitation,2009,Outcomes,Human,1068
300,19436831,No," Waleed M Sweileh,",Predictors of in-Hospital Mortality after Acute Stroke: Impact of Gender.,International journal of clinical and experimental medicine,2009,Outcomes,Human,186
301,18495951,No," David M Kent, Michael D Hill","The gender effect in stroke thrombolysis: of CASES, controls, and treatment-effect modification.",Neurology,2008 Sep 30,Management,Human,1110
302,18760126,No," Krassen Nedeltchev, Marcel Arnold",Sex differences in cryptogenic stroke with patent foramen ovale.,American heart journal,2008 Sep,Pathophysiology,Human,500
303,18537854,No," Joseph P Noon, Roger L Scott",The effect of age and gender on arterial stiffness in healthy Caucasian Canadians.,Journal of clinical nursing,2008 Sep,Management,Human,176
304,18722812,Yes," Mathew J Reeves, Lynda Lisabeth","Sex differences in stroke: epidemiology, clinical presentation, medical care, and outcomes.",Lancet neurology,2008 Oct,Review,Human,na
305,18406504,No," Jonathan T Kleinman, Argye E Hillis",Gender differences in unilateral spatial neglect within 24 hours of ischemic stroke.,Brain and cognition,2008 Oct,Outcomes,Human,312
306,18991796,Yes," Monica Saini, Ashfaq Shuaib",Stroke in women.,Recent patents on cardiovascular drug discovery,2008 Nov,Review,Human,na
307,18258827,No," Pierre CordeauJr, Jasna Kriz",Live imaging of neuroinflammation reveals sex and estrogen effects on astrocyte response to ischemic injury.,"Stroke, a journal of cerebral circulation",2008 Mar,Pathophysiology,Mouse,na
308,18354059,No," Ali Razmara, Vincent Procaccio",Mitochondrial effects of estrogen are mediated by estrogen receptor alpha in brain endothelial cells.,The Journal of pharmacology and experimental therapeutics,2008 Jun,Pathophysiology,Human cells,na
309,18635489,Yes," Kamila Vagnerova, Patricia D Hurn",Gender and the injured brain.,Anesthesia and analgesia,2008 Jul,Review,?,na
310,18240980,Yes," Cindy Grines, Leslie Cho",Atherothrombotic disease and the role of antiplatelet therapy in women.,Journal of women's health (2002),2008 Jan-Feb,Review,Human,na
311,18048851,No," Julia Warner Gargano, Mathew Reeves",Sex differences in acute stroke care in a statewide stroke registry.,"Stroke, a journal of cerebral circulation",2008 Jan,Outcomes,Human,2566
312,18032738,Yes," Emmanuel Touzé, Peter M Rothwell",Sex differences in heritability of ischemic stroke: a systematic review and meta-analysis.,"Stroke, a journal of cerebral circulation",2008 Jan,Review,Human,7941
313,18199994,Yes, Cheryl D Bushnell,Stroke and the female brain.,Nature clinical practice. Neurology,2008 Jan,Review,Human,na
314,18426788,No," Per Sjölander, Urban Janlert",Stroke and acute myocardial infarction in the Swedish Sami population: incidence and mortality in relation to income and level of education.,Scandinavian journal of public health,2008 Jan,Epidemiology,Human,87464
315,17982007,No," H Girouard, C Iadecola",The neurovascular dysfunction induced by angiotensin II in the mouse neocortex is sexually dimorphic.,American journal of physiology. Heart and circulatory physiology,2008 Jan,Pathophysiology,Mouse,na
316,18427697,No," Susanna Toivanen,",Job control and the risk of incident stroke in the working population in Sweden.,"Scandinavian journal of work, environment & health",2008 Feb,Epidemiology,Human,<3000000
317,18648381,No," Xiaoqin Liu, Anish Bhardwaj",Lack of sex-linked differences in cerebral edema and aquaporin-4 expression after experimental stroke.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2008 Dec,Pathophysiology,Human,na
318,18556583,No," Gustavo Saposnik,Collective=Stroke Outcome Research Canada (SORCan) Working Group",Stroke outcome in those over 80: a multicenter cohort study across Canada.,"Stroke, a journal of cerebral circulation",2008 Aug,Outcomes,Human,26676
319,18292386,No," John M Reid, Stephen J Phillips",Gender differences in stroke examined in a 10-year cohort of patients admitted to a Canadian teaching hospital.,"Stroke, a journal of cerebral circulation",2008 Apr,Outcomes,Human,2725
320,18309174,No," Susanna Toivanen,",Is the impact of job control on stroke independent from socioeconomic status?: a large-scale study of the Swedish working population.,"Stroke, a journal of cerebral circulation",2008 Apr,Outcomes,Human,na
321,18810232,Yes," L Christine Turtzo, Louise D McCullough",Sex differences in stroke.,"Cerebrovascular diseases (Basel, Switzerland)",2008,Review,Human,na
322,18302529,No," Heidar Tavilani, Rohollah Setarehbadi",Sex differences in adenosine deaminase activity of stroke patients.,Clinical chemistry and laboratory medicine : CCLM / FESCC,2008,Pathophysiology,Human,30
323,18573200,Yes," Jesse T Lang, Louise D McCullough",Pathways to ischemic neuronal cell death: are sex differences relevant?,Journal of translational medicine,2008,Review,?,na
324,18648197,No," N K J Oksala, P J Karhunen",Long-term survival after ischemic stroke in postmenopausal women is affected by an interaction between smoking and genetic variation in nitric oxide synthases.,"Cerebrovascular diseases (Basel, Switzerland)",2008,Pathophysiology,Human,486
325,19118246,No,Eriksson M/ Stegmayr B,Sex Differences in Stroke Care and Oucome in the Swedish National Quality Register for Stroke Care.,Stroke,2008,Epidemiology,Human,na
326,17845914,No," Thabele M Leslie-Mazwi, James F Meschia",Sex differences in stroke evaluations in the Ischemic Stroke Genetics Study.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2007 Sep-Oct,Management,Human,505
327,17673706,No," Julia Warner Gargano,Collective=Paul Coverdell National Acute Stroke Registry Michigan Prototype Investigators",Sex differences in stroke recovery and stroke-specific quality of life: results from a statewide stroke registry.,"Stroke, a journal of cerebral circulation",2007 Sep,Outcomes,Human,373
328,18040105,No," Xingang Zhang, Yingxian Sun",Gender differences in blood lipids and the risk of ischemic stroke among the hypertensive adults in rural China.,Neurology India,2007 Oct-Dec,Epidemiology,Human,6412
329,17882669,Yes, R A Lobo,Menopause and stroke and the effects of hormonal therapy.,Climacteric : the journal of the International Menopause Society,2007 Oct,Review,Human,na
330,17714091,Yes," Alyson A Miller, Christopher G Sobey",Effect of gender and sex hormones on vascular oxidative stress.,Clinical and experimental pharmacology & physiology,2007 Oct,Review,Human/Mouse,na
331,17670862,No," Christiné S Rigsby, Anne M Dorrance",Intact female stroke-prone hypertensive rats lack responsiveness to mineralocorticoid receptor antagonists.,"American journal of physiology. Regulatory, integrative and comparative physiology",2007 Oct,Pathophysiology,Human,na
332,17581944,No," Amytis Towfighi, Bruce Ovbiagele",A midlife stroke surge among women in the United States.,Neurology,2007 Nov 13,Epidemiology,Human,17061
333,17901387,No," Laura J Gray,Collective=TAIST Investigators",Sex differences in quality of life in stroke survivors: data from the Tinzaparin in Acute Ischaemic Stroke Trial (TAIST).,"Stroke, a journal of cerebral circulation",2007 Nov,Outcomes,Human,1484
334,17363725,No," Paul G Surtees, Kay-Tee Khaw",Adaptation to social adversity is associated with stroke incidence: evidence from the EPIC-Norfolk prospective cohort study.,"Stroke, a journal of cerebral circulation",2007 May,Epidemiology,Human,20629
335,17456646,No," Tomoko Goto, Takaaki Koshiji",Gender differences in stroke risk among the elderly after coronary artery surgery.,Anesthesia and analgesia,2007 May,Epidemiology,Human,720
336,17255545,No," Kazim Sheikh, Claudia M Bullock",Effect of measurement on sex difference in stroke mortality.,"Stroke, a journal of cerebral circulation",2007 Mar,Epidemiology,Human,40450
337,17355737,Yes," Krista M Dale,",Impact of gender on statin efficacy.,Current medical research and opinion,2007 Mar,Review,Human,na
338,17525398,No," Christian Foerch,Collective=Arbeitsgruppe Schlaganfall Hessen",Sex disparity in the access of elderly patients to acute stroke care.,"Stroke, a journal of cerebral circulation",2007 Jul,Management,Human,53414
339,17689390,No," Kevin M Barrett,Collective=Ischemic Stroke Genetics Study Group","Sex differences in stroke severity, symptoms, and deficits after first-ever ischemic stroke.",Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2007 Jan-Feb,Clinical,Human,505
340,17113602,No," M Rigal,",Lipoprotein (a) and risk of ischemic stroke in young adults.,Journal of the neurological sciences,2007 Jan 15,Clinical,Human,200
341,17364518,No, Gabriele Wilz,"Predictors of subjective impairment after stroke: influence of depression, gender and severity of stroke.",Brain injury : [BI],2007 Jan,Outcomes,Human,104
342,17150211,No," Rossana Ballerio, Luigi Sironi",Gender differences in endothelial function and inflammatory markers along the occurrence of pathological events in stroke-prone rats.,Experimental and molecular pathology,2007 Feb,Pathophysiology,Rat,na
343,17398240,No," Ivonne-Marie Bergés, Glenn V Ostir",Satisfaction with quality of life poststroke: effect of sex differences in pain response.,Archives of physical medicine and rehabilitation,2007 Apr,Outcomes,Human,1724
344,17332466,No," Marcel Arnold, Heinrich P Mattle",Recanalization and outcome after intra-arterial thrombolysis in middle cerebral artery and internal carotid artery occlusion: does sex matter?,"Stroke, a journal of cerebral circulation",2007 Apr,Management,Human,205
345,17596687,No," Tatjana Pekmezovic,","Stroke mortality in Belgrade, Serbia: age, period, and cohort analyses.","Cerebrovascular diseases (Basel, Switzerland)",2007,Outcomes,Human,na
346,17925598,No," Philippa C Lavallée,",Stroke and vascular mortality trends in France: 1979-2001.,Neuroepidemiology,2007,Outcomes,Human,na
347,17904073,No," Yanming Jiang, Claudia Bullock",Is there a sex or race difference in stroke mortality?,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2006 Sep-Oct,Epidemiology,Human,40450
348,16888269,No," Michael D Hill,Collective=PROACT-2 Investigators",Sex-based differences in the effect of intra-arterial treatment of stroke: analysis of the PROACT-2 study.,"Stroke, a journal of cerebral circulation",2006 Sep,Management,Human,na
349,16873713,No," Colin R Simpson, David Williams",Effect of the UK incentive-based contract on the management of patients with stroke in primary care.,"Stroke, a journal of cerebral circulation",2006 Sep,Management,Human,na
350,17030768,No," J Y Chong, R L Sacco",Gender differences in self-report of recovery after stroke: the Northern Manhattan Study.,Neurology,2006 Oct 10,Outcomes,Human,na
351,17141020,Yes, Mary Ann Keenan,Sexual dimorphism in stroke.,The Orthopedic clinics of North America,2006 Oct,Review,Human,na
352,17101894,No," Adnan I Qureshi, Afshin A Divani",African American women have poor long-term survival following ischemic stroke.,Neurology,2006 Nov 14,Outcomes,Human,547
353,16608908,No," Larisa H Cavallari, Edith A Nutescu",Sex difference in the antiplatelet effect of aspirin in patients with stroke.,The Annals of pharmacotherapy,2006 May,Management,Human,81
354,16526525,No," Janice L Hinkle, Karen Revere",A comparison of stroke risk factors between men and women with disabilities.,Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses,2006 Mar-Apr,Epidemiology,Human,146
355,16049424,No," Emil Zeynalov,",Neuroprotective effect of selective kappa opioid receptor agonist is gender specific and linked to reduced neuronal nitric oxide.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2006 Mar,Pathophysiology,Mouse,na
356,16393832,No," Peter Appelros, Andreas Terént",Living setting and utilisation of ADL assistance one year after a stroke with special reference to gender differences.,Disability and rehabilitation,2006 Jan 15,Outcomes,Human,377
357,16365615,No," Moira K Kapral, Susan J Bondy",Gender differences in stroke care decision-making.,Medical care,2006 Jan,Management,Human,586
358,16133727,No," Michal Gostynski,","Incidence of first-ever ischemic stroke in the Canton Basle-City, Switzerland: a population-based study 2002/2003.",Journal of neurology,2006 Jan,Epidemiology,Human,188015
359,16410482,No," Sandra J Olney, Krishna Parvataneni",A randomized controlled trial of supervised versus unsupervised exercise programs for ambulatory stroke survivors.,"Stroke, a journal of cerebral circulation",2006 Feb,Management,Human,72
360,17582368,Yes," Lynda D Lisabeth, Lewis B Morgenstern",Barriers to intravenous tissue plasminogen activator for acute stroke therapy in women.,Gender medicine : official journal of the Partnership for Gender-Specific Medicine at Columbia University,2006 Dec,Review,Human,na
361,16785600,Yes," Anna Cz?onkowska, Iwona Kurkowska-Jastrzebska",Gender differences in neurological disease: role of estrogens and cytokines.,Endocrine,2006 Apr,Review,Human,na
362,16581190,No," T C Wen, A Sola",Gender differences in long-term beneficial effects of erythropoietin given after neonatal stroke in postnatal day-7 rats.,Neuroscience,2006,Management,Human,na
363,16804310,No," Adrià Arboix, Juan Massons",Impact of female gender on prognosis in type 2 diabetic patients with ischemic stroke.,European neurology,2006,Epidemiology,Human,2446
364,17146484,No," Lorna Dyall,Collective=Auckland Regional Community Stroke (ARCOS) Study Group","Incidence of stroke in women in Auckland, New Zealand. Ethnic trends over two decades: 1981-2003.",The New Zealand medical journal,2006,Epidemiology,Human,1150937
365,17904029,No," Morten Nonboe Andersen, Tom Skyhøj Olsen",Sex differences in stroke survival: 10-year follow-up of the Copenhagen stroke study cohort.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2005 Sep-Oct,Outcomes,Human,999
366,16186523,No," Melinda A Smith, Lewis B Morgenstern",Gender comparisons of diagnostic evaluation for ischemic stroke patients.,Neurology,2005 Sep 27,Epidemiology,Human,381
367,16555576,No," Kazuaki Shimamoto,Collective=J-LIT Study Group","The risk of cardiovascular events in Japanese hypertensive patients with hypercholesterolemia: sub-analysis of the Japan Lipid Intervention Trial (J-LIT) Study, a large-scale observational cohort study.",Hypertension research : official journal of the Japanese Society of Hypertension,2005 Nov,Management,Human,47294
368,16279505,No," Drorith Hochner-Celnikier, Tova Chajek-Shaul","Gender gap in cerebrovascular accidents: comparison of the extent, severity, and risk factors in men and women aged 45-65.",International journal of fertility and women's medicine,2005 May-Jun,Epidemiology,Human,304
369,16046844,No," Jerome Y Yager, Deborah M Saucier",A new model for determining the influence of age and sex on functional recovery following hypoxic-ischemic brain damage.,Developmental neuroscience,2005 Mar-Aug,Pathophysiology,Human,na
370,15963315,No," Sue-Min Lai, John Keighley",Sex differences in stroke recovery.,Preventing chronic disease,2005 Jul,Outcomes,Human,459
371,15917015,No," Christian H Nolte,Collective=German Competence Net Stroke",Gender differences in knowledge of stroke in patients with atrial fibrillation.,Preventive medicine,2005 Jul,Epidemiology,Human,558
372,15947268,No," Sean I Savitz, Magdy Selim",Arterial occlusive lesions recanalize more frequently in women than in men after intravenous tissue plasminogen activator administration for acute stroke.,"Stroke, a journal of cerebral circulation",2005 Jul,Management,Human,100
373,15933260,No," Chih-Hung Chen,",Ischemic neuroprotection with selective kappa-opioid receptor agonist is gender specific.,"Stroke, a journal of cerebral circulation",2005 Jul,Management,Rat,50
374,15569865,No," David M Kent, Harry P Selker",Sex-based differences in response to recombinant tissue plasminogen activator in acute ischemic stroke: a pooled analysis of randomized clinical trials.,"Stroke, a journal of cerebral circulation",2005 Jan,Management,Human,988
375,16485866,No," Gunilla Gosman-Hedström, Lisbeth Claesson",Gender perspective on informal care for elderly people one year after acute stroke.,Aging clinical and experimental research,2005 Dec,Outcomes,Human,147
376,16040591,No," C R Simpson, D Williams",Evidence for age and sex differences in the secondary prevention of stroke in Scottish primary care.,"Stroke, a journal of cerebral circulation",2005 Aug,Management,Human,377439
377,15731476,No," Moira K Kapral,Collective=Investigators of the Registry of the Canadian Stroke Network",Sex differences in stroke care and outcomes: results from the Registry of the Canadian Stroke Network.,"Stroke, a journal of cerebral circulation",2005 Apr,Outcomes,Human,387515
378,15689952,No," Louise D McCullough, Patricia D Hurn","Ischemic nitric oxide and poly (ADP-ribose) polymerase-1 in cerebral ischemia: male toxicity, female protection.",Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2005 Apr,Pathophysiology,Mouse,na
379,15802926,No," Vânia N Aikawa, Paulo A Lotufo","Higher burden of hemorrhagic stroke among women. An autopsy-based study in São Paulo, Brazil.",Neuroepidemiology,2005,Pathophysiology,Human,970
380,15927821,Yes,Bramlett HM,Sex differences and the effect of hormonal therapy on ischemic brain injury,Pathophysiology,2005,Review,Human/Mouse,
381,15464671,No," Jens Friberg,",Comparison of the impact of atrial fibrillation on the risk of stroke and cardiovascular death in women versus men (The Copenhagen City Heart Study).,The American journal of cardiology,2004 Oct 1,Epidemiology,Human,29310
382,15073400,No," J Medin,",Increasing stroke incidence in Sweden between 1989 and 2000 among persons aged 30 to 65 years: evidence from the Swedish Hospital Discharge Register.,"Stroke, a journal of cerebral circulation",2004 May,Epidemiology,Human,na
383,15258786,No," Jens Weise,",Gender-specific risk of perioperative complications in carotid endarterectomy patients with contralateral carotid artery stenosis or occlusion.,Journal of neurology,2004 Jul,Management,Human,212
384,15514193,No," P M Rothwell, H J M Barnett",Sex difference in the effect of time from symptoms to surgery on benefit from carotid endarterectomy for transient ischemic attack and nondisabling stroke.,"Stroke, a journal of cerebral circulation",2004 Dec,Management,Human,na
385,17903915,No," Margaret Kelly-Hayes,",The influence of gender and age on disability following ischemic stroke: the Framingham study.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2003 May-Jun,Outcomes,Human,na
386,12742803,No," Pekka Jousilahti, Erkki Vartiainen","Headache and the risk of stroke: a prospective observational cohort study among 35,056 Finnish men and women.",Archives of internal medicine,2003 May 12,Epidemiology,Human,35056
387,12690218,No," Antonio Di Carlo,Collective=European BIOMED Study of Stroke Care Group","Sex differences in the clinical presentation, resource use, and 3-month outcome of acute stroke in Europe: data from a multicenter multinational hospital-based registry.","Stroke, a journal of cerebral circulation",2003 May,Epidemiology,Human,4499
388,12690225,Yes," Moira K Kapral,Collective=Ontario Carotid Endarterectomy Registry",Sex differences in carotid endarterectomy outcomes: results from the Ontario Carotid Endarterectomy Registry.,"Stroke, a journal of cerebral circulation",2003 May,Review,Human,6038
389,12874397,No," Heather J Fullerton,",Risk of stroke in children: ethnic and gender disparities.,Neurology,2003 Jul 22,Epidemiology,Human,2278
390,12805490,No," Jaume Roquer, Meritxell Gomis",Sex differences in first-ever acute stroke.,"Stroke, a journal of cerebral circulation",2003 Jul,Epidemiology,Human,1581
391,12855818,No," Eva-Lotta Glader,Collective=Riks-Stroke Collaboration",Sex differences in management and outcome after stroke: a Swedish national perspective.,"Stroke, a journal of cerebral circulation",2003 Aug,Outcomes,Human,19547
