Nr	Pubmed_ID	Review	Author	Title	Journal	Year	Subject	Species	Nr patients	
266	12628079	Yes	 David H Silber	Heart failure in women.	Current women's health reports	2003 Apr	Review	Human	na	
267	12841118	Yes	 P Jerie	New aspects in clinical cardiology: sex-based differences in cardiovascular morbidity and mortality	Casopís lékar?? c?eských	2003	Review	Human	na	
268	12590653	No	" Jason M Burstein, Beth L Abramson"	Management of congestive heart failure: a gender gap may still exist. Observations from a contemporary cohort.	BMC cardiovascular disorders	2003	Management	Human	145	
269	12214166	No	" Patricia A Howard, Jack E Fincham"	Patterns of ACE inhibitor use in elderly medicaid patients with heart failure.	The American journal of geriatric cardiology	2002 Sep-Oct	Management	Human	321	
270	12214170	Yes	" Suman Tandon, Thierry H Le Jemtel"	Clinical profile of chronic heart failure in elderly women.	The American journal of geriatric cardiology	2002 Sep-Oct	Review	Human	na	
271	12389753	No	" Gunnar Nilsson, Lars-Erik Strender"	Management of heart failure in primary health care. A retrospective study on electronic patient records in a registered population.	Scandinavian journal of primary health care	2002 Sep	Epidemiology	Human	667	
272	12409542	No	" Saif S Rathore, Harlan M Krumholz"	Sex-based differences in the effect of digoxin for the treatment of heart failure.	The New England journal of medicine	2002 Oct 31	Management	Human	6800	
273	12411980	No	" Lorraine S Evangelista, Michele Hamilton"	Emotional well-being of heart failure patients and their caregivers.	Journal of cardiac failure	2002 Oct	Outcomes	Human	103	
274	11988194	No	" Jonathan N Bella, Richard B Devereux"	Gender difference in diastolic function in hypertension (the HyperGEN study).	The American journal of cardiology	2002 May 1	Clinical	Human	1354	
275	11915408	No	" Michael J Rohrbaugh, James C Coyne"	Couples coping with congestive heart failure: role and gender differences in psychological distress.	Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43)	2002 Mar	Outcomes	Human	177	
276	11842023	No	" M Judith Radin, Sylvia A McCune"	Gender modulates activation of renin-angiotensin and endothelin systems in hypertension and heart failure.	"Journal of applied physiology (Bethesda, Md. : 1985)"	2002 Mar	Pathophysiology	Rat	na	
277	11861038	Yes	" Marcus Fischer, Heribert Schunkert"	Renin angiotensin system and gender differences in the cardiovascular system.	Cardiovascular research	2002 Feb 15	Review	M/R/H	na	
278	11861042	No	" Andreas Luchner, Heribert Schunkert"	Gender-specific differences of cardiac remodeling in subjects with left ventricular dysfunction: a population-based study.	Cardiovascular research	2002 Feb 15	Pathophysiology	Human	1883	
279	14622871	No	" Inger Ekman, Anna Ehrenberg"	Fatigue in chronic heart failure--does gender make a difference?	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2002 Feb	Outcomes	Human	158	
280	12460864	No	" Leong L Ng, Joan E Davies"	Plasma urotensin in human systolic heart failure.	Circulation	2002 Dec 3	Clinical	Human	346	
281	12358171	No	" Doron Aronson, Andrew J Burger"	The effect of sex on ventricular arrhythmic events in patients with congestive heart failure.	Pacing and clinical electrophysiology : PACE	2002 Aug	Outcomes	Human	236	
282	12016634	No	" Jason D Gardner, Joseph S Janicki"	Gender differences in cardiac remodeling secondary to chronic volume overload.	Journal of cardiac failure	2002 Apr	Pathophysiology	Rat	na	
283	11343002	No	" L S Evangelista, K Dracup"	Gender differences in health perceptions and meaning in persons living with heart failure.	Heart & lung : the journal of critical care	2001 May-Jun	Outcomes	Human	32	
284	11248713	No	" M S Riedinger, P A Ganz"	Quality of life in patients with heart failure: do gender differences exist?	Heart & lung : the journal of critical care	2001 Mar-Apr	Outcomes	Human	1382	
285	11303541	No	" B Agvall, U Dahlström"	"Patients in primary health care diagnosed and treated as heart failure, with special reference to gender differences."	Scandinavian journal of primary health care	2001 Mar	Management	Human	256	
286	11328820	No	" K Haghighi, E G Kranias"	Superinhibition of sarcoplasmic reticulum function by phospholamban induces cardiac contractile failure.	The Journal of biological chemistry	2001 Jun 29	Pathophysiology	Mouse	na	
287	11157688	No	" T Simon, P Jaillon"	Sex differences in the prognosis of congestive heart failure: results from the Cardiac Insufficiency Bisoprolol Study (CIBIS II).	Circulation	2001 Jan 23	Management	Human	na	
288	11767958	No	" A Ruigómez, L A García Rodríguez"	Gender and drug treatment as determinants of mortality in a cohort of heart failure patients.	European journal of epidemiology	2001	Epidemiology	Human	820	
289	11098524	Yes	" M A Halm, S Penque"	Heart failure in women.	Progress in cardiovascular nursing	2000 Season=Fall	Review	Human	na	
290	11059968	No	" D Aronson, A J Burger"	Gender-related differences in modulation of heart rate in patients with congestive heart failure.	Journal of cardiovascular electrophysiology	2000 Oct	Pathophysiology	Human	199	
291	10731438	No	" A Leri, P Anversa"	Telomerase activity in rat cardiac myocytes is age and gender dependent.	Journal of molecular and cellular cardiology	2000 Mar	Pathophysiology	Rat	na	
292	10954938	No	" S Hood, H Hemingway"	Are there age and sex differences in the investigation and treatment of heart failure? A population-based study.	The British journal of general practice : the journal of the Royal College of General Practitioners	2000 Jul	Management	Human	583	
293	10618567	No	" G Gambassi, R Bernabei"	Management of heart failure among very old persons living in long-term care: has the voice of trials spread? The SAGE Study Group.	American heart journal	2000 Jan	Epidemiology	Human	86094	
294	11204452	No	" M Griffin, M Eghbali-Webb"	Gender-related differences in proliferative response of cardiac fibroblasts to hypoxia: effects of estrogen.	Molecular and cellular biochemistry	2000 Dec	Pathophysiology	Rat	na	
295	10953034	No	" T Kadokami, A M Feldman"	Sex-related survival differences in murine cardiomyopathy are associated with differences in TNF-receptor expression.	The Journal of clinical investigation	2000 Aug	Pathophysiology	Mouse	na	
296	10532954	No	" S Guerra, P Anversa"	Myocyte death in the failing human heart is gender dependent.	Circulation research	1999 Oct 29	Pathophysiology	Human	19	
297	10539813	No	" V Vaccarino, H M Krumholz"	Sex differences in the clinical care and outcomes of congestive heart failure in the elderly.	American heart journal	1999 Nov	Outcomes	Human	2445	
298	10024326	No	" T Tamura, A M Gerdes"	Gender-related differences in myocyte remodeling in progression to heart failure.	Hypertension	1999 Feb	Pathophysiology	Rat	na	
299	10599607	No	" J Z Ayanian, A M Epstein"	Quality of care by race and gender for congestive heart failure and pneumonia.	Medical care	1999 Dec	Management	Human	2175	
300	10199877	No	" K F AdamsJr, R M Califf"	Gender differences in survival in advanced heart failure. Insights from the FIRST study.	Circulation	1999 Apr 13	Outcomes	Human	471	
301	9768741	No	" P S Douglas, B H Lorell"	Hypertrophic remodeling: gender differences in the early response to left ventricular pressure overload.	Journal of the American College of Cardiology	1998 Oct	Pathophysiology	Rat	52	
302	9674621	No	" M H Chin, L Goldman"	Gender differences in 1-year survival and quality of life among patients admitted with congestive heart failure.	Medical care	1998 Jul	Outcomes	Human	435	
303	9844832	No	" T A Murberg, S Svebak"	Functional status and depression among men and women with congestive heart failure.	International journal of psychiatry in medicine	1998	Outcomes	Human	119	
304	9385920	No	" C S Hayward, R P Kelly"	Gender-related differences in the central arterial pressure waveform.	Journal of the American College of Cardiology	1997 Dec	Pathophysiology	Human	350	
305	7612985	Yes	" F Cetta, V V Michels"	"The natural history and spectrum of idiopathic dilated cardiomyopathy, including HIV and peripartum cardiomyopathy."	Current opinion in cardiology	1995 May	Review	Human	na	
306	7758181	No	" K D Aaronson, D M Mancini"	Sex differences in patient acceptance of cardiac transplant candidacy.	Circulation	1995 Jun 1	Management	Human	386	
307	7553705	Yes	" C D Kimmelstiel, M A Konstam"	Heart failure in women.	Cardiology	1995	Review	Human	na	
308	8376685	No	" M G Bourassa, S Yusuf"	Natural history and patterns of current practice in heart failure. The Studies of Left Ventricular Dysfunction (SOLVD) Investigators.	Journal of the American College of Cardiology	1993 Oct	Outcomes	Human	6273	
309	8222104	No	" G T O'Connor, D J Malenka"	Differences between men and women in hospital mortality associated with coronary artery bypass graft surgery. The Northern New England Cardiovascular Disease Study Group.	Circulation	1993 Nov	Outcomes	Human	3055	
	2198097	Yes	" C Kimmelstiel, R J Goldberg"	Congestive heart failure in women: focus on heart failure due to coronary artery disease and diabetes.	Cardiology	1990	Review	Human	na	
	2492448	Yes	 B A Berko	Gender-related differences in cardiomyopathy.	Cardiovascular clinics	1989	Review	Human	na	
